iteration,reward_mean,length_mean,games,loss
500,-1.0,2.0,11,tensor(0.0330)
1000,-1.0,2.0,10,tensor(0.0389)
1500,-1.0,2.0,9,tensor(0.0169)
2000,-0.78,2.22,9,tensor(0.0467)
2500,-0.88,2.12,8,tensor(0.0300)
3000,-0.8,2.2,10,tensor(0.0400)
3500,-1.0,2.0,8,tensor(0.0227)
4000,-1.0,2.0,8,tensor(0.0284)
4500,-1.0,2.0,9,tensor(0.0367)
5000,-0.78,2.22,9,tensor(0.0464)
5500,-0.91,2.09,11,tensor(0.0290)
6000,-1.0,2.0,9,tensor(0.0360)
6500,-1.0,2.0,10,tensor(0.0475)
7000,-1.0,2.0,8,tensor(0.0389)
7500,-1.0,2.0,10,tensor(0.0385)
8000,-1.0,2.0,11,tensor(0.0395)
8500,-1.0,2.0,8,tensor(0.0390)
9000,-0.92,2.08,12,tensor(0.0502)
9500,-1.0,2.0,8,tensor(0.0345)
10000,-1.0,2.0,10,tensor(0.0432)
10500,-0.89,2.11,9,tensor(0.0351)
11000,-0.9,2.1,10,tensor(0.0373)
11500,-1.0,2.0,8,tensor(0.0310)
12000,-1.0,2.0,13,tensor(0.0398)
12500,-0.92,2.08,12,tensor(0.0380)
13000,-1.0,2.0,10,tensor(0.0314)
13500,-0.75,2.25,8,tensor(0.0374)
14000,-1.0,2.0,8,tensor(0.0550)
14500,-1.0,2.0,9,tensor(0.0400)
15000,-1.0,2.0,8,tensor(0.0312)
15500,-1.0,2.0,8,tensor(0.0480)
16000,-1.0,2.0,11,tensor(0.0229)
16500,-0.88,2.12,8,tensor(0.0332)
17000,-0.89,2.11,9,tensor(0.0451)
17500,-0.88,2.12,8,tensor(0.0435)
18000,-1.0,2.0,10,tensor(0.0336)
18500,-0.89,2.11,9,tensor(0.0629)
19000,-0.88,2.12,8,tensor(0.0390)
19500,-1.0,2.0,8,tensor(0.0441)
20000,-1.0,2.0,8,tensor(0.0394)
